文献ID,标题,DOI是否补全,PubMed是否补全,摘要是否补全,匹配来源和分数,是否需要人工核对
paper_001,感染性发热临床检验路径专家共识,否,否,否,PubMed:none; Crossref:0.387,否
paper_002,构建感染性发热的多维度全景式临床检验新范式,否,否,否,PubMed:none; Crossref:0.341,否
paper_003,Two high-quality genomes of Prototheca bovis strain SH08 and Prototheca ciferrii strain SH13,是,是,是,PubMed:1.000; Crossref:1.000,否
paper_004,A prospective cohort study on the association between cervical microenvironmental factors and the efficacy of treating high-risk human papillomavirus infection comorbid with cervical diseases.,是,是,是,PubMed:1.000; Crossref:1.000,否
paper_005,The Epidemiology and Infection Control of Candida Auris in Shanghai,是,是,是,PubMed:1.000; Crossref:1.000,否
paper_006,Gut-X axis.,否,否,否,PubMed:0.588; Crossref:0.750,是
paper_007,The interplay between tissue-resident microbiome and host proteins by integrated multi-omics during progression of colorectal adenoma to carcinoma,是,是,是,PubMed:1.000; Crossref:1.000,否
paper_008,A MALDI-TOF MS-based multiple detection panel of drug resistance-associated multiple single-nucleotide polymorphisms in Candida tropicalis,是,是,是,PubMed:1.000; Crossref:1.000,否
paper_009,Analytical and clinical validation of multiplex droplet digital PCR assay for detecting pathogenic fungal infection in lungs,是,是,是,PubMed:1.000; Crossref:1.000,否
paper_010,人类呼吸道微生物组及检测技术进展,否,否,否,PubMed:none; Crossref:0.581,否
paper_011,A Machine learning model for predicting sepsis based on an optimized assay for microbial cell-free DNA sequencing,是,否,否,PubMed:none; Crossref:1.000,否
paper_012,In Vitro Activitiy of Rezafungin in Comparison with Anidulafungin and Caspofungin against Invasive Fungal Isolates (2017 to 2022) in China,是,是,是,PubMed:1.000; Crossref:1.000,否
paper_013,Transposition with Tn3-family elements occurs through interaction with the host β-sliding clamp processivity factor,是,是,是,PubMed:1.000; Crossref:0.996,否
paper_014,Alteration of the gut microbiota changes during the one-year Antarctic deployment in a group of Chinese Han population,是,否,否,PubMed:none; Crossref:1.000,否
paper_015,Performance of the Aspergillus galactomannan lateral flow assay with a digital reader for the diagnosis of invasive aspergillosis: a multicenter study,是,是,是,PubMed:1.000; Crossref:1.000,否
paper_016,Metagenomics Next-Generation Sequencing (mNGS) Reveals Emerging Infection Induced by Klebsiella pneumoniae,是,是,是,PubMed:0.981; Crossref:0.981,否
paper_017,Automated and ultrasensitive point-of-care glycoprotein detection using boronate-affinity enhanced organic electrochemical transistor patch,是,是,是,PubMed:1.000; Crossref:1.000,否
paper_018,2017-2021年中国华东地区临床分离侵袭性感染热带念珠菌耐药状况分析,否,否,否,PubMed:0.138; Crossref:0.379,否
