id,title,authors,year,journal,current_doi,current_pubmed,current_abstract,current_fullTextUrl,manual_doi,manual_pubmed,manual_abstract,manual_fullTextUrl,manual_keywords,note
paper_001,感染性发热临床检验路径专家共识,"Wu, Wenjuan (Wu W.);Li, Min (Li M.);Guo, Wei (Guo W.)",2026,Chinese Journal of Laboratory Medicine,,,,,,,,,,
paper_002,构建感染性发热的多维度全景式临床检验新范式,"Wu, Wenjuan (Wu W.)",2026,Chinese Journal of Laboratory Medicine,,,,,,,,,,
paper_006,Gut-X axis.,"Lin X (Lin, Xu);Yu Z (Yu, Zuxiang);Liu Y (Liu, Yang);Li C (Li, Changzhou);Hu H (Hu, Hui);Hu JC (Hu, Jia-Chun);Liu M (Liu, Mian);Yang Q (Yang, Qin);Gu P (Gu, Peng);Li J (Li, Jiaxin);Nandakumar KS (Nandakumar, Kutty Selva);Hu G (Hu, Gaofei);Zhang Q (Zhang, Qi);Chen X (Chen, Xinyu);Ma H (Ma, Huihui);Huang W (Huang, Wenye);Wang G (Wang, Gaofeng);Wang Y (Wang, Yan);Huang L (Huang, Liping);Wu W (Wu, Wenjuan);Liu NN (Liu, Ning-Ning);Zhang C (Zhang, Chenhong);Liu X (Liu, Xingyin);Zheng L (Zheng, Leming);Chen P (Chen, Peng)",2025,iMeta,,,,,,,,,,
paper_010,人类呼吸道微生物组及检测技术进展,吴文娟;田文杰,2024,内科理论与实践,,,,,,,,,,
paper_011,A Machine learning model for predicting sepsis based on an optimized assay for microbial cell-free DNA sequencing,"Wang, LL (Wang, Lili);Tian, WJ (Tian, Wenjie);Zhang, WJ (Zhang, Weijun);Wen, DH (Wen, Donghua);Yang, SM (Yang, Simin);Wang, JC (Wang, Jichao);Han, X (Han, Xu);Wang, J (Wang, Jun);Ding, WC (Ding, Wenchao);Wang, LH (Wang, Lihui);Yu, YT (Yu, Yuetian);Wu, WJ (Wu, Wenjuan)",2024,CLINICA CHIMICA ACTA,10.1016/j.cca.2024.119716,,,https://api.elsevier.com/content/article/PII:S0009898124019673?httpAccept=text/xml,,,,,,
paper_014,Alteration of the gut microbiota changes during the one-year Antarctic deployment in a group of Chinese Han population,"Wang, LL (Wang, Lili);Gan, D (Gan, Di);Guo, WZ (Guo, Wenzheng);Zhu, YX (Zhu, Yunxia);Zhang, M (Zhang, Min);Zhou, AP (Zhou, Aiping);Chen, GT (Chen, Guoting);Wu, WJ (Wu, Wenjuan)",2024,BMC MICROBIOLOGY,10.1186/s12866-024-03569-x,,,https://link.springer.com/content/pdf/10.1186/s12866-024-03569-x.pdf,,,,,,
paper_018,2017-2021年中国华东地区临床分离侵袭性感染热带念珠菌耐药状况分析,万菲菲;张旻;郭建;吴文娟,2023,中华预防医学杂志,,,,,,,,,,
paper_019,5种新型冠状病毒核酸检测试剂应用于DXcellenceTM全自动核酸检测分析系统的性能评估,轩乾坤;吴文娟,2023,临床检验杂志,,,,,,,,,,
paper_020,新时代临床微生物学学科发展方向,吴文娟,2023,国际检验医学杂志,,,,,,,,,,
paper_021,阴道微生物组与HPV感染和宫颈病变的相关性研究进展,纪凌云;吴晶;周旸;吴文娟,2023,微生物与感染,,,,,,,,,,
paper_023,Editorial: New insights into the role of mycobiome in diseases,"Wu, WJ (Wu, Wenjuan);Ding, J (Ding, Jun);Zheng, XQ (Zheng, Xiaoqi);Wang, H (Wang, Hui);Liu, NN (Liu, Ning-Ning)",2023,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,10.3389/fcimb.2023.1240657,37457964,,https://www.frontiersin.org/articles/10.3389/fcimb.2023.1240657/full,,,,,,
paper_025,Detection of pathogens and antimicrobial resistance genes directly from urine samples in patients suspected of urinary tract infection by metagenomics nanopore sequencing: A large-scale multi-centre study,"Liu, MJ (Liu, Manjiao);Yang, SM (Yang, Simin);Wu, SS (Wu, Susheng);Chen, L (Chen, Li);Li, S (Li, Shan);Li, ZZ (Li, Zhenzhong);Zhou, MZ (Zhou, Mingzhe);Wang, LL (Wang, Lili);Xu, H (Xu, Hui);Liu, RY (Liu, Ryon);Fang, Y (Fang, Yi);Huang, WC (Huang, Weichun);Zhang, M (Zhang, Min);Guo, WZ (Guo, Wenzheng);Dai, Y (Dai, Yan);Ren, Y (Ren, Yong);Guo, H (Guo, Hao);Wu, WJ (Wu, Wenjuan)",2023,CLINICAL AND TRANSLATIONAL MEDICINE,10.1002/ctm2.824,37186513,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ctm2.824,,,,,,
paper_027,In vitro antifungal susceptibility profile and genotypic characterization of clinical Aspergillus isolates in Eastern China on behalf of Eastern China Invasive Fungi Infection Group,"Lin, Huiping (Lin H.);Guo, Jian (Guo J.);Li, Yueting (Li Y.);Xiao, Chenlu (Xiao C.);Hu, Liang (Hu L.);Chen, Hui (Chen H.);Lu, Xiuhai (Lu X.);Wu, Wenjuan (Wu W.)",2023,Medical Mycology,10.1093/mmy/myad082,,,https://academic.oup.com/mmy/advance-article-pdf/doi/10.1093/mmy/myad082/51112196/myad082.pdf,,,,,,
paper_028,新型冠状病毒肺炎大型方舱医院感染预防控制风险管理探索,吴文娟;张祎博;陈尔真,2022,中华预防医学杂志,,,,,,,,,,
